date,source,medium,delivery_available,device_type,promo_activated,filter_used,pageviews,visits,productClick,addToCart,checkout,transactions,revenue
2020-05-11,google,organic,Не определено,Десктоп,no,no,3120,1233,5240,1048,525,90,86649
2020-05-11,yandex,cpc,Не определено,Мобайл,yes,no,3302,544,9930,1984,1416,217,244478
2020-05-11,google,cpc,Не определено,Мобайл,no,no,2970,1450,5460,1090,599,100,105150
2020-05-11,google,cpc,Не определено,Десктоп,no,no,1875,854,4250,848,407,71,79003
2020-05-11,yandex,organic,Не определено,Десктоп,no,no,2159,1000,4110,824,351,62,61861
2020-05-11,yandex,cpc,Не определено,Десктоп,no,no,2775,1441,5990,1196,549,76,90862
2020-05-11,yandex,organic,Не определено,Мобайл,no,no,3116,1395,4950,990,703,112,111012
2020-05-11,yandex,cpc,Не определено,Мобайл,no,no,3854,1842,7310,1462,913,150,168397
2020-05-11,yandex,cpc,Не определено,Десктоп,yes,no,2816,510,8450,1688,949,170,187452
2020-05-11,(direct),(none),Не определено,Десктоп,yes,no,1184,324,2710,542,269,54,67849
2020-05-11,admitad,cpa,Не определено,Десктоп,no,no,1401,677,320,64,36,6,7477
2020-05-11,google,organic,Не определено,Десктоп,yes,no,2986,385,8640,1728,902,147,169506
2020-03-26,(direct),(none),Доставка есть,Мобайл,yes,no,224,16,520,104,80,14,14488
2020-03-26,(direct),(none),Не определено,Мобайл,yes,no,1914,377,5220,1044,719,95,97904
2020-03-26,(direct),(none),Не определено,Мобайл,no,no,2329,1491,2130,426,220,37,34204
2020-03-26,google,organic,Не определено,Мобайл,yes,no,4761,794,11890,2378,1722,278,266796
2020-03-26,admitad,cpa,Не определено,Мобайл,yes,no,909,172,2080,416,308,39,37693
2020-03-26,google,organic,Не определено,Десктоп,no,no,3400,1471,6100,1218,517,111,126956
2020-03-26,yandex,cpc,Не определено,Мобайл,no,no,2688,1497,4800,960,544,67,79068
2020-03-26,google,organic,Не определено,Мобайл,no,no,4987,2549,6790,1358,823,133,129656
2020-03-26,yandex,organic,Не определено,Мобайл,no,no,3122,1447,5220,1046,573,102,99566
2020-03-26,google,cpc,Не определено,Мобайл,yes,no,3215,577,10610,2124,1176,187,183640
2020-03-26,yandex,organic,Не определено,Десктоп,no,no,2069,1079,3510,702,289,54,57549
2020-03-26,(direct),(none),Не определено,Десктоп,no,no,1530,793,1850,368,397,40,52648
2020-03-26,yandex,cpc,Не определено,Десктоп,no,no,2735,1455,4920,982,378,78,104279
2020-03-26,google,cpc,Не определено,Десктоп,no,no,1636,854,3420,684,239,43,65102
2020-03-26,yandex,organic,Не определено,Десктоп,yes,no,2759,394,8030,1606,833,166,169270
2020-03-26,google,organic,Не определено,Десктоп,yes,yes,603,46,1450,288,134,26,30039
2020-03-26,google,cpc,Не определено,Мобайл,no,no,2408,1438,3900,780,405,56,60933
2020-09-23,google,cpc,Не определено,Мобайл,yes,no,3919,658,3730,746,763,38,46321
2020-09-23,yandex,organic,Не определено,Мобайл,no,no,4938,1215,2990,598,928,62,55660
2020-09-23,(direct),(none),Не определено,Мобайл,no,no,3516,1408,1190,236,239,26,21799
2020-09-23,google,organic,Не определено,Мобайл,yes,no,5211,713,4930,986,1468,60,61807
2020-09-23,admitad,cpa,Не определено,Мобайл,yes,no,1013,149,800,160,288,18,18464
2020-09-23,google,organic,Не определено,Мобайл,no,no,8544,2058,4570,912,1406,89,75899
2020-09-23,google,cpc,Не определено,Мобайл,no,no,1379,444,700,140,164,11,9613
2020-09-23,eLama,cpc,Не определено,Мобайл,no,no,520,153,370,74,62,6,6363
2020-09-23,yandex,cpc,Не определено,Мобайл,yes,no,5499,948,4460,890,1049,46,52540
2020-09-23,yandex,organic,Не определено,Мобайл,yes,no,3624,453,2850,570,899,46,58756
2020-09-23,google,organic,Не определено,Десктоп,yes,no,2176,484,5310,1064,795,79,95775
2020-09-23,google,organic,Не определено,Десктоп,no,no,2491,834,4010,802,556,61,67259
2020-09-23,yandex,organic,Не определено,Десктоп,no,no,1839,715,2920,580,301,39,40991
2020-09-23,yandex,cpc,Не определено,Десктоп,no,no,763,349,1020,200,121,13,12912
2020-09-23,yandex,cpc,Не определено,Десктоп,yes,no,2521,707,6250,1248,668,57,83659
2020-09-23,eLama,cpc,Не определено,Десктоп,no,no,137,56,490,98,22,4,4065
2020-09-23,admitad,cpa,Не определено,Десктоп,yes,no,733,141,1580,310,311,42,49282
2020-09-23,google,organic,Доставка есть,Десктоп,no,no,425,69,1900,380,280,55,79308
2020-09-23,yandex,cpc,Доставка есть,Десктоп,yes,no,1006,101,3280,656,629,58,107653
2020-05-07,(direct),(none),Доставка есть,Мобайл,no,no,187,9,560,112,131,4,5033
2020-05-07,yandex,organic,Не определено,Мобайл,no,no,3212,1416,5450,1090,677,120,127561
2020-05-07,google,organic,Не определено,Мобайл,no,no,4725,2014,7360,1472,1011,161,161570
2020-05-07,yandex,cpc,Не определено,Мобайл,no,no,4021,2002,7870,1574,849,135,167639
2020-05-07,yandex,cpc,Не определено,Десктоп,no,no,4088,2021,9560,1908,750,126,164684
2020-05-07,admitad,cpa,Не определено,Мобайл,no,no,2876,1288,580,116,73,13,14215
2020-05-07,admitad,cpa,Не определено,Мобайл,yes,no,1298,262,2680,536,485,75,87309
2020-05-07,google,organic,Не определено,Десктоп,no,no,3446,1362,6370,1274,614,110,119117
2020-05-07,google,cpc,Не определено,Мобайл,no,no,2823,1400,5220,1042,603,78,82734
2020-05-07,(direct),(none),Не определено,Мобайл,no,no,1322,748,1500,300,212,33,38272
2020-05-07,yandex,cpc,Не определено,Десктоп,yes,no,3609,662,11520,2304,1163,205,259448
2020-05-07,yandex,cpc,Не определено,Мобайл,yes,no,2643,518,8520,1704,1086,146,164836
2020-05-07,google,organic,Доставка есть,Десктоп,no,no,387,34,1010,200,121,23,27105
2020-05-07,admitad,cpa,Не определено,Десктоп,no,no,1674,746,450,90,52,9,7861
2020-05-07,yandex,organic,Не определено,Десктоп,no,no,2770,1267,5360,1072,488,84,86128
2020-05-07,google,cpc,Не определено,Мобайл,yes,no,2100,364,6740,1348,847,121,139277
2020-05-07,google,cpc,Не определено,Десктоп,yes,no,1819,326,5280,1056,549,96,108363
2020-05-07,yandex,organic,Не определено,Мобайл,no,yes,115,14,330,66,36,3,2148
2020-05-07,google,organic,Не определено,Десктоп,yes,no,3284,492,9040,1806,969,182,212546
2020-05-07,admitad,cpa,Не определено,Десктоп,yes,no,1543,268,3130,626,470,80,90777
2020-05-07,google,cpc,Не определено,Десктоп,no,no,2003,912,4710,942,405,66,86906
2020-04-21,yandex,cpc,Не определено,Мобайл,no,no,3198,1690,5530,1106,606,90,111142
2020-04-21,google,organic,Не определено,Мобайл,no,no,4880,2105,6340,1268,893,123,111706
2020-04-21,eLama,cpc,Не определено,Мобайл,yes,no,184,52,530,106,61,7,9796
2020-04-21,(direct),(none),Не определено,Мобайл,no,no,1728,983,1650,326,162,33,36812
2020-04-21,admitad,cpa,Не определено,Мобайл,no,no,1209,676,650,130,77,11,11619
2020-04-21,(direct),(none),Не определено,Десктоп,no,no,1193,661,1690,338,175,37,34890
2020-04-21,yandex,organic,Не определено,Мобайл,yes,yes,136,16,350,70,92,7,9145
